run 1
"graph [100,0.1]"
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness
"mrv, lcv, no_inference",7,0.008018016815185547,100,0,"{42: 1, 68: 1, 0: 0, 97: 6, 90: 4, 6: 0, 13: 2, 2: 0, 77: 6, 32: 1, 39: 4, 84: 2, 24: 0, 54: 2, 48: 1, 23: 0, 10: 2, 55: 3, 96: 3, 44: 0, 52: 1, 72: 3, 28: 2, 91: 5, 71: 0, 1: 0, 95: 0, 86: 3, 70: 4, 63: 1, 22: 0, 49: 2, 64: 3, 37: 0, 69: 2, 51: 0, 30: 2, 12: 1, 60: 1, 93: 1, 57: 2, 73: 2, 47: 2, 74: 5, 67: 2, 82: 5, 92: 5, 87: 6, 62: 4, 26: 0, 83: 4, 11: 1, 4: 0, 3: 0, 56: 0, 79: 2, 21: 2, 14: 3, 16: 1, 38: 0, 7: 0, 76: 5, 40: 2, 27: 2, 58: 1, 35: 0, 65: 0, 29: 0, 25: 0, 31: 2, 34: 1, 80: 3, 43: 2, 94: 2, 89: 2, 99: 0, 66: 1, 36: 3, 81: 4, 41: 4, 61: 4, 75: 3, 78: 3, 45: 2, 88: 1, 9: 0, 98: 3, 59: 3, 8: 0, 17: 1, 20: 2, 33: 3, 19: 1, 46: 2, 53: 3, 18: 0, 15: 1, 50: 1, 85: 5, 5: 1}",True
"mrv, lcv, forward_checking",7,0.008891820907592773,100,0,"{61: 4, 70: 4, 25: 0, 51: 0, 86: 3, 97: 6, 17: 1, 53: 3, 6: 0, 90: 4, 39: 4, 19: 1, 18: 0, 72: 3, 55: 3, 41: 4, 67: 2, 54: 2, 87: 6, 15: 1, 43: 2, 1: 0, 30: 2, 69: 2, 77: 6, 48: 1, 78: 3, 65: 0, 4: 0, 46: 2, 42: 1, 95: 0, 45: 2, 10: 2, 28: 2, 5: 1, 29: 0, 56: 0, 94: 2, 58: 1, 80: 3, 92: 5, 32: 1, 3: 0, 22: 0, 83: 4, 47: 2, 60: 1, 93: 1, 14: 3, 73: 2, 57: 2, 36: 3, 7: 0, 59: 3, 11: 1, 26: 0, 31: 2, 8: 0, 38: 0, 75: 3, 81: 4, 12: 1, 82: 5, 88: 1, 34: 1, 62: 4, 21: 2, 0: 0, 50: 1, 96: 3, 89: 2, 20: 2, 40: 2, 16: 1, 99: 0, 13: 2, 79: 2, 52: 1, 84: 2, 66: 1, 64: 3, 23: 0, 85: 5, 49: 2, 98: 3, 24: 0, 2: 0, 37: 0, 27: 2, 68: 1, 9: 0, 35: 0, 44: 0, 91: 5, 63: 1, 74: 5, 71: 0, 76: 5, 33: 3}",True
"mrv, lcv, mac",7,0.011740922927856445,100,0,"{6: 0, 24: 0, 44: 0, 77: 6, 20: 2, 62: 4, 17: 1, 69: 2, 93: 1, 49: 2, 36: 3, 0: 0, 90: 4, 22: 0, 30: 2, 56: 0, 47: 2, 58: 1, 7: 0, 97: 6, 33: 3, 28: 2, 38: 0, 32: 1, 14: 3, 52: 1, 72: 3, 91: 5, 4: 0, 64: 3, 26: 0, 18: 0, 89: 2, 43: 2, 42: 1, 84: 2, 73: 2, 8: 0, 80: 3, 48: 1, 57: 2, 5: 1, 63: 1, 12: 1, 29: 0, 25: 0, 3: 0, 45: 2, 21: 2, 68: 1, 13: 2, 71: 0, 34: 1, 92: 5, 79: 2, 60: 1, 67: 2, 37: 0, 51: 0, 83: 4, 70: 4, 16: 1, 39: 4, 11: 1, 46: 2, 15: 1, 88: 1, 1: 0, 99: 0, 85: 5, 94: 2, 98: 3, 65: 0, 2: 0, 76: 5, 75: 3, 31: 2, 10: 2, 53: 3, 74: 5, 35: 0, 40: 2, 78: 3, 54: 2, 41: 4, 87: 6, 81: 4, 61: 4, 50: 1, 27: 2, 23: 0, 82: 5, 66: 1, 19: 1, 96: 3, 95: 0, 9: 0, 59: 3, 86: 3, 55: 3}",True
"run 1 graph [100,0.1] average time",fastest combination,fastest time,slowest combination,slowest time
0.006072521209716797,"first_unassigned_variable, unordered_domain_values, forward_checking",0.0018548965454101562,"mrv, lcv, mac",0.011740922927856445
"graph [100,0.2]"
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness
"first_unassigned_variable, unordered_domain_values, no_inference",11,0.007014751434326172,100,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 1, 9: 2, 10: 0, 11: 2, 12: 3, 13: 1, 14: 1, 15: 2, 16: 0, 17: 2, 18: 3, 19: 1, 20: 2, 21: 0, 22: 1, 23: 2, 24: 1, 25: 3, 26: 4, 27: 2, 28: 3, 29: 5, 30: 3, 31: 2, 32: 5, 33: 4, 34: 3, 35: 4, 36: 4, 37: 4, 38: 5, 39: 3, 40: 0, 41: 4, 42: 1, 43: 4, 44: 6, 45: 3, 46: 6, 47: 5, 48: 2, 49: 3, 50: 2, 51: 1, 52: 5, 53: 2, 54: 6, 55: 4, 56: 6, 57: 7, 58: 5, 59: 5, 60: 3, 61: 7, 62: 0, 63: 6, 64: 7, 65: 0, 66: 1, 67: 6, 68: 3, 69: 8, 70: 3, 71: 6, 72: 5, 73: 7, 74: 6, 75: 4, 76: 0, 77: 1, 78: 7, 79: 8, 80: 8, 81: 4, 82: 7, 83: 3, 84: 1, 85: 8, 86: 4, 87: 9, 88: 9, 89: 5, 90: 8, 91: 10, 92: 7, 93: 9, 94: 9, 95: 4, 96: 9, 97: 5, 98: 1, 99: 8}",True
"first_unassigned_variable, unordered_domain_values, forward_checking",11,0.002730846405029297,100,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 1, 9: 2, 10: 0, 11: 2, 12: 3, 13: 1, 14: 1, 15: 2, 16: 0, 17: 2, 18: 3, 19: 1, 20: 2, 21: 0, 22: 1, 23: 2, 24: 1, 25: 3, 26: 4, 27: 2, 28: 3, 29: 5, 30: 3, 31: 2, 32: 5, 33: 4, 34: 3, 35: 4, 36: 4, 37: 4, 38: 5, 39: 3, 40: 0, 41: 4, 42: 1, 43: 4, 44: 6, 45: 3, 46: 6, 47: 5, 48: 2, 49: 3, 50: 2, 51: 1, 52: 5, 53: 2, 54: 6, 55: 4, 56: 6, 57: 7, 58: 5, 59: 5, 60: 3, 61: 7, 62: 0, 63: 6, 64: 7, 65: 0, 66: 1, 67: 6, 68: 3, 69: 8, 70: 3, 71: 6, 72: 5, 73: 7, 74: 6, 75: 4, 76: 0, 77: 1, 78: 7, 79: 8, 80: 8, 81: 4, 82: 7, 83: 3, 84: 1, 85: 8, 86: 4, 87: 9, 88: 9, 89: 5, 90: 8, 91: 10, 92: 7, 93: 9, 94: 9, 95: 4, 96: 9, 97: 5, 98: 1, 99: 8}",True
"first_unassigned_variable, unordered_domain_values, mac",11,0.0053539276123046875,100,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 1, 9: 2, 10: 0, 11: 2, 12: 3, 13: 1, 14: 1, 15: 2, 16: 0, 17: 2, 18: 3, 19: 1, 20: 2, 21: 0, 22: 1, 23: 2, 24: 1, 25: 3, 26: 4, 27: 2, 28: 3, 29: 5, 30: 3, 31: 2, 32: 5, 33: 4, 34: 3, 35: 4, 36: 4, 37: 4, 38: 5, 39: 3, 40: 0, 41: 4, 42: 1, 43: 4, 44: 6, 45: 3, 46: 6, 47: 5, 48: 2, 49: 3, 50: 2, 51: 1, 52: 5, 53: 2, 54: 6, 55: 4, 56: 6, 57: 7, 58: 5, 59: 5, 60: 3, 61: 7, 62: 0, 63: 6, 64: 7, 65: 0, 66: 1, 67: 6, 68: 3, 69: 8, 70: 3, 71: 6, 72: 5, 73: 7, 74: 6, 75: 4, 76: 0, 77: 1, 78: 7, 79: 8, 80: 8, 81: 4, 82: 7, 83: 3, 84: 1, 85: 8, 86: 4, 87: 9, 88: 9, 89: 5, 90: 8, 91: 10, 92: 7, 93: 9, 94: 9, 95: 4, 96: 9, 97: 5, 98: 1, 99: 8}",True
