run 1,,,,,,,,,
"graph [30,0.1]",,,,,,,,,
"mrv, lcv, no_inference",8,0.001412868,30,0,"{1: 0, 29: 5, 7: 0, 28: 3, 2: 1, 23: 7, 26: 3, 21: 6, 14: 3, 22: 2, 5: 2, 19: 4, 13: 3, 10: 3, 17: 6, 16: 5, 11: 1, 3: 2, 18: 5, 4: 1, 24: 1, 0: 0, 9: 2, 20: 2, 15: 4, 12: 4, 27: 2, 6: 0, 8: 0, 25: 7}",TRUE,,,
"mrv, lcv, forward_checking",8,0.001327038,30,0,"{18: 5, 13: 3, 17: 6, 25: 7, 20: 2, 26: 3, 14: 3, 29: 5, 24: 1, 7: 0, 23: 7, 15: 4, 1: 0, 4: 1, 8: 0, 28: 3, 5: 2, 11: 1, 9: 2, 3: 2, 27: 2, 2: 1, 12: 4, 22: 2, 10: 3, 21: 6, 6: 0, 0: 0, 16: 5, 19: 4}",TRUE,,,
"mrv, lcv, mac",8,0.001909018,30,0,"{4: 1, 25: 7, 3: 2, 16: 5, 10: 3, 23: 7, 18: 5, 8: 0, 26: 3, 6: 0, 12: 4, 7: 0, 28: 3, 9: 2, 15: 4, 2: 1, 14: 3, 20: 2, 11: 1, 13: 3, 27: 2, 1: 0, 29: 5, 24: 1, 0: 0, 19: 4, 22: 2, 21: 6, 5: 2, 17: 6}",TRUE,,,
"run 1 graph [30,0.5] average time",fastest combination,fastest time,slowest combination,slowest time,,,,,
0.001373768,"first_unassigned_variable, lcv, forward_checking",0.000721216,"first_unassigned_variable, unordered_domain_values, mac",0.002297163,,,,,
run 1 combinations average time:,,,,,,,,,
"first_unassigned_variable, unordered_domain_values, no_inference",0.004854918,,,,,,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",0.002501726,,,,,,,,
"first_unassigned_variable, unordered_domain_values, mac",0.005554438,,,,,,,,
"first_unassigned_variable, lcv, no_inference",0.00280261,,,,,,,,
"first_unassigned_variable, lcv, forward_checking",0.003453016,,,,,,,,
"first_unassigned_variable, lcv, mac",0.004485607,,,,,,,,
"mrv, unordered_domain_values, no_inference",0.005358458,,,,,,,,
"mrv, unordered_domain_values, forward_checking",0.006113529,,,,,,,,
"mrv, unordered_domain_values, mac",0.008397579,,,,,,,,
"mrv, lcv, no_inference",0.006978512,,,,,,,,
"mrv, lcv, forward_checking",0.007678986,,,,,,,,
"mrv, lcv, mac",0.009404182,,,,,,,,
run 2,,,,,,,,,
"graph [30,0.1]",,,,,,,,,
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness,,,
"first_unassigned_variable, unordered_domain_values, no_inference",4,0.000729084,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",4,0.000457048,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",4,0.000415087,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",4,0.000333071,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, lcv, forward_checking",4,0.000370979,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, lcv, mac",4,0.00048995,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"mrv, unordered_domain_values, no_inference",4,0.000844002,30,0,"{8: 1, 4: 1, 16: 0, 0: 0, 29: 2, 11: 2, 18: 3, 3: 0, 7: 1, 9: 1, 28: 0, 6: 0, 26: 2, 13: 0, 5: 0, 19: 0, 24: 0, 15: 0, 1: 0, 20: 2, 21: 0, 25: 1, 22: 2, 12: 1, 17: 2, 27: 2, 23: 3, 2: 1, 10: 0, 14: 2}",TRUE,,,
"mrv, unordered_domain_values, forward_checking",4,0.000880003,30,0,"{18: 3, 20: 2, 1: 0, 14: 2, 13: 0, 24: 0, 21: 0, 22: 2, 2: 1, 27: 2, 28: 0, 9: 1, 10: 0, 15: 0, 11: 2, 5: 0, 23: 3, 3: 0, 29: 2, 17: 2, 6: 0, 16: 0, 19: 0, 26: 2, 8: 1, 12: 1, 25: 1, 7: 1, 4: 1, 0: 0}",TRUE,,,
"mrv, unordered_domain_values, mac",4,0.001179218,30,0,"{20: 2, 15: 0, 13: 0, 10: 0, 3: 0, 6: 0, 25: 1, 29: 2, 1: 0, 26: 2, 18: 3, 5: 0, 21: 0, 28: 0, 27: 2, 14: 2, 7: 1, 2: 1, 19: 0, 16: 0, 12: 1, 0: 0, 17: 2, 8: 1, 11: 2, 9: 1, 22: 2, 23: 3, 24: 0, 4: 1}",TRUE,,,
"mrv, lcv, no_inference",4,0.001034975,30,0,"{21: 0, 14: 2, 24: 0, 9: 1, 7: 1, 1: 0, 22: 2, 28: 0, 23: 3, 5: 0, 0: 0, 11: 2, 19: 0, 27: 2, 6: 0, 20: 2, 15: 0, 2: 1, 8: 1, 4: 1, 12: 1, 3: 0, 17: 2, 16: 0, 10: 0, 25: 1, 13: 0, 26: 2, 29: 2, 18: 3}",TRUE,,,
"mrv, lcv, forward_checking",4,0.000996113,30,0,"{23: 3, 6: 0, 0: 0, 1: 0, 24: 0, 26: 2, 15: 0, 14: 2, 22: 2, 17: 2, 28: 0, 29: 2, 8: 1, 18: 3, 12: 1, 9: 1, 25: 1, 3: 0, 10: 0, 20: 2, 2: 1, 11: 2, 16: 0, 13: 0, 4: 1, 19: 0, 21: 0, 5: 0, 7: 1, 27: 2}",TRUE,,,
"mrv, lcv, mac",4,0.001103163,30,0,"{15: 0, 29: 2, 12: 1, 24: 0, 20: 2, 11: 2, 8: 1, 22: 2, 9: 1, 6: 0, 2: 1, 5: 0, 19: 0, 18: 3, 16: 0, 28: 0, 3: 0, 4: 1, 21: 0, 1: 0, 25: 1, 13: 0, 26: 2, 23: 3, 27: 2, 7: 1, 10: 0, 0: 0, 17: 2, 14: 2}",TRUE,,,
"run 2 graph [30,0.1] average time",fastest combination,fastest time,slowest combination,slowest time,,,,,
0.000736058,"first_unassigned_variable, lcv, no_inference",0.000333071,"mrv, unordered_domain_values, mac",0.001179218,,,,,
"graph [30,0.2]",,,,,,,,,
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness,,,
"first_unassigned_variable, unordered_domain_values, no_inference",5,0.000636816,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",5,0.000895023,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",5,0.00143981,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",5,0.000424862,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, forward_checking",5,0.000479937,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, mac",5,0.000686169,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"mrv, unordered_domain_values, no_inference",5,0.000920057,30,0,"{2: 1, 7: 1, 6: 1, 20: 0, 16: 0, 3: 0, 25: 3, 9: 3, 19: 1, 27: 3, 18: 0, 17: 2, 24: 4, 10: 0, 0: 0, 21: 0, 13: 3, 11: 2, 1: 0, 28: 2, 29: 3, 15: 2, 22: 3, 8: 1, 14: 2, 5: 0, 12: 3, 26: 0, 23: 2, 4: 2}",TRUE,,,
"mrv, unordered_domain_values, forward_checking",5,0.000962734,30,0,"{4: 2, 6: 1, 10: 0, 11: 2, 29: 3, 13: 3, 0: 0, 19: 1, 1: 0, 26: 0, 24: 4, 28: 2, 16: 0, 23: 2, 27: 3, 14: 2, 12: 3, 17: 2, 22: 3, 15: 2, 9: 3, 5: 0, 2: 1, 7: 1, 25: 3, 18: 0, 21: 0, 20: 0, 3: 0, 8: 1}",TRUE,,,
"mrv, unordered_domain_values, mac",5,0.001182079,30,0,"{24: 4, 13: 3, 29: 3, 1: 0, 9: 3, 19: 1, 18: 0, 22: 3, 0: 0, 2: 1, 15: 2, 14: 2, 17: 2, 28: 2, 7: 1, 21: 0, 6: 1, 4: 2, 26: 0, 23: 2, 11: 2, 20: 0, 27: 3, 8: 1, 12: 3, 16: 0, 3: 0, 10: 0, 5: 0, 25: 3}",TRUE,,,
"mrv, lcv, no_inference",5,0.001032829,30,0,"{1: 0, 4: 2, 25: 3, 28: 2, 22: 3, 26: 0, 5: 0, 20: 0, 15: 2, 24: 4, 13: 3, 23: 2, 11: 2, 9: 3, 29: 3, 3: 0, 7: 1, 16: 0, 27: 3, 6: 1, 8: 1, 14: 2, 19: 1, 21: 0, 10: 0, 12: 3, 0: 0, 18: 0, 2: 1, 17: 2}",TRUE,,,
"mrv, lcv, forward_checking",5,0.00106287,30,0,"{19: 1, 16: 0, 4: 2, 14: 2, 28: 2, 24: 4, 13: 3, 5: 0, 18: 0, 10: 0, 7: 1, 25: 3, 0: 0, 26: 0, 20: 0, 2: 1, 11: 2, 9: 3, 23: 2, 12: 3, 27: 3, 6: 1, 1: 0, 17: 2, 29: 3, 21: 0, 22: 3, 3: 0, 8: 1, 15: 2}",TRUE,,,
"mrv, lcv, mac",5,0.001489878,30,0,"{9: 3, 17: 2, 13: 3, 11: 2, 14: 2, 23: 2, 15: 2, 1: 0, 20: 0, 19: 1, 8: 1, 25: 3, 5: 0, 7: 1, 21: 0, 10: 0, 12: 3, 16: 0, 18: 0, 27: 3, 28: 2, 2: 1, 24: 4, 4: 2, 6: 1, 29: 3, 3: 0, 26: 0, 0: 0, 22: 3}",TRUE,,,
"run 2 graph [30,0.2] average time",fastest combination,fastest time,slowest combination,slowest time,,,,,
0.000934422,"first_unassigned_variable, lcv, no_inference",0.000424862,"mrv, lcv, mac",0.001489878,,,,,
"graph [30,0.3]",,,,,,,,,
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness,,,
"first_unassigned_variable, unordered_domain_values, no_inference",7,0.000875711,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",7,0.000586987,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",7,0.000876904,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",7,0.00048995,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, forward_checking",7,0.000564098,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, mac",7,0.000836849,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"mrv, unordered_domain_values, no_inference",7,0.000948191,30,0,"{3: 1, 23: 0, 28: 5, 6: 2, 2: 1, 20: 4, 21: 5, 9: 3, 22: 5, 19: 2, 15: 2, 17: 3, 29: 3, 7: 0, 4: 0, 11: 0, 26: 3, 24: 6, 14: 1, 0: 0, 1: 0, 27: 1, 18: 4, 25: 5, 16: 4, 5: 1, 8: 2, 10: 1, 12: 2, 13: 0}",TRUE,,,
"mrv, unordered_domain_values, forward_checking",7,0.001050949,30,0,"{16: 4, 18: 4, 11: 0, 3: 1, 7: 0, 17: 3, 5: 1, 25: 5, 12: 2, 20: 4, 13: 0, 9: 3, 22: 5, 23: 0, 15: 2, 1: 0, 29: 3, 24: 6, 21: 5, 14: 1, 26: 3, 28: 5, 19: 2, 2: 1, 0: 0, 8: 2, 27: 1, 4: 0, 10: 1, 6: 2}",TRUE,,,
"mrv, unordered_domain_values, mac",7,0.001331091,30,0,"{11: 0, 4: 0, 2: 1, 7: 0, 29: 3, 9: 3, 21: 5, 24: 6, 18: 4, 27: 1, 6: 2, 26: 3, 12: 2, 8: 2, 25: 5, 3: 1, 19: 2, 10: 1, 22: 5, 23: 0, 14: 1, 15: 2, 1: 0, 16: 4, 13: 0, 5: 1, 17: 3, 28: 5, 0: 0, 20: 4}",TRUE,,,
"mrv, lcv, no_inference",7,0.001063347,30,0,"{25: 5, 26: 3, 20: 4, 21: 5, 6: 2, 4: 0, 24: 6, 23: 0, 16: 4, 7: 0, 10: 1, 29: 3, 2: 1, 3: 1, 15: 2, 11: 0, 14: 1, 18: 4, 8: 2, 22: 5, 0: 0, 12: 2, 17: 3, 5: 1, 13: 0, 19: 2, 27: 1, 28: 5, 9: 3, 1: 0}",TRUE,,,
"mrv, lcv, forward_checking",7,0.001328945,30,0,"{10: 1, 8: 2, 2: 1, 19: 2, 18: 4, 6: 2, 26: 3, 11: 0, 28: 5, 3: 1, 25: 5, 12: 2, 17: 3, 16: 4, 20: 4, 1: 0, 9: 3, 4: 0, 21: 5, 14: 1, 22: 5, 5: 1, 13: 0, 29: 3, 24: 6, 27: 1, 15: 2, 0: 0, 7: 0, 23: 0}",TRUE,,,
"mrv, lcv, mac",7,0.001463652,30,0,"{26: 3, 4: 0, 12: 2, 24: 6, 21: 5, 6: 2, 16: 4, 18: 4, 10: 1, 25: 5, 28: 5, 0: 0, 2: 1, 9: 3, 20: 4, 29: 3, 5: 1, 13: 0, 1: 0, 3: 1, 17: 3, 15: 2, 8: 2, 14: 1, 23: 0, 7: 0, 27: 1, 22: 5, 19: 2, 11: 0}",TRUE,,,
"run 2 graph [30,0.3] average time",fastest combination,fastest time,slowest combination,slowest time,,,,,
0.000951389,"first_unassigned_variable, lcv, no_inference",0.00048995,"mrv, lcv, mac",0.001463652,,,,,
"graph [30,0.4]",,,,,,,,,
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness,,,
"first_unassigned_variable, unordered_domain_values, no_inference",6,0.000776052,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",6,0.000479937,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",6,0.000798941,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",6,0.00054574,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, forward_checking",6,0.000846148,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, mac",6,0.003327131,30,0,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 3, 9: 0, 10: 1, 11: 2, 12: 1, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 0, 22: 3, 23: 2, 24: 4, 25: 5, 26: 2, 27: 5, 28: 5, 29: 5}",TRUE,,,
"mrv, unordered_domain_values, no_inference",6,0.001230955,30,0,"{0: 0, 7: 1, 12: 1, 27: 5, 5: 0, 4: 0, 2: 0, 26: 2, 28: 5, 21: 0, 10: 1, 20: 4, 8: 3, 1: 0, 25: 5, 16: 4, 9: 0, 19: 2, 24: 4, 6: 2, 13: 0, 15: 2, 17: 3, 29: 5, 11: 2, 23: 2, 3: 1, 22: 3, 18: 4, 14: 1}",TRUE,,,
"mrv, unordered_domain_values, forward_checking",6,0.001266956,30,0,"{14: 1, 18: 4, 19: 2, 9: 0, 2: 0, 6: 2, 7: 1, 4: 0, 13: 0, 25: 5, 16: 4, 12: 1, 27: 5, 0: 0, 24: 4, 10: 1, 29: 5, 17: 3, 20: 4, 8: 3, 23: 2, 3: 1, 21: 0, 28: 5, 5: 0, 15: 2, 26: 2, 1: 0, 11: 2, 22: 3}",TRUE,,,
"mrv, unordered_domain_values, mac",6,0.001462936,30,0,"{15: 2, 16: 4, 27: 5, 4: 0, 18: 4, 11: 2, 28: 5, 6: 2, 2: 0, 3: 1, 26: 2, 8: 3, 0: 0, 19: 2, 9: 0, 13: 0, 10: 1, 1: 0, 20: 4, 24: 4, 17: 3, 5: 0, 14: 1, 29: 5, 23: 2, 22: 3, 12: 1, 25: 5, 21: 0, 7: 1}",TRUE,,,
"mrv, lcv, no_inference",6,0.001200199,30,0,"{20: 4, 15: 2, 1: 0, 6: 2, 2: 0, 27: 5, 19: 2, 14: 1, 25: 5, 12: 1, 13: 0, 22: 3, 29: 5, 16: 4, 10: 1, 24: 4, 3: 1, 28: 5, 21: 0, 0: 0, 17: 3, 11: 2, 9: 0, 7: 1, 4: 0, 8: 3, 23: 2, 26: 2, 18: 4, 5: 0}",TRUE,,,
"mrv, lcv, forward_checking",6,0.001228094,30,0,"{21: 0, 9: 0, 5: 0, 7: 1, 0: 0, 29: 5, 14: 1, 13: 0, 2: 0, 28: 5, 25: 5, 24: 4, 23: 2, 19: 2, 22: 3, 11: 2, 6: 2, 16: 4, 1: 0, 15: 2, 3: 1, 26: 2, 4: 0, 18: 4, 12: 1, 8: 3, 10: 1, 17: 3, 27: 5, 20: 4}",TRUE,,,
"mrv, lcv, mac",6,0.001562834,30,0,"{15: 2, 19: 2, 9: 0, 6: 2, 28: 5, 18: 4, 7: 1, 26: 2, 21: 0, 0: 0, 27: 5, 1: 0, 13: 0, 8: 3, 20: 4, 11: 2, 14: 1, 25: 5, 23: 2, 10: 1, 29: 5, 4: 0, 3: 1, 5: 0, 17: 3, 16: 4, 22: 3, 2: 0, 24: 4, 12: 1}",TRUE,,,
"run 2 graph [30,0.4] average time",fastest combination,fastest time,slowest combination,slowest time,,,,,
0.00122716,"first_unassigned_variable, unordered_domain_values, forward_checking",0.000479937,"first_unassigned_variable, lcv, mac",0.003327131,,,,,
"graph [30,0.5]",,,,,,,,,
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness,,,
"first_unassigned_variable, unordered_domain_values, no_inference",8,0.001057863,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",8,0.000553846,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",8,0.000965834,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",8,0.000624895,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, forward_checking",8,0.000853062,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, mac",8,0.001364946,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
